pk	interventions	tissue	time_unit	time	substance_name	pktype	unit	figure	group_pk	mean	auc_end	kel	se	individual_pk	value	sd	cv	median	max	min
796	367	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
796	368	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
796	369	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
796	370	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
796	371	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
796	372	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[45.41, 114.0, 184.63, 250.87, 226.38, 226.27, 198.3, 171.21, 120.33, 96.5, 59.37, 37.61]	857.5695	0.2637894079718936	[5.1406662992262, 22.1925463275398, 22.1677975901983, 13.9724299962462, 8.62670273047588, 13.9688944623402, 12.2400183823391, 8.51356564548603, 9.6661496988201, 5.36340493529996, 2.95217081145384, 2.31931024229188]			[14.54, 62.77, 62.7, 39.52, 24.4, 39.51, 34.62, 24.08, 27.34, 15.17, 8.35, 6.56]	[0.320193789914116, 0.550614035087719, 0.339598115149217, 0.157531789372982, 0.107783373089496, 0.174614398727184, 0.174583963691377, 0.140645990304305, 0.227208509931023, 0.15720207253886, 0.140643422604009, 0.174421696357352]			
798	366	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	367	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	368	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	369	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	370	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	371	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
798	372	plasma	h	[0.1, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 2.0, 3.0, 4.0, 6.0, 8.0]	codeine-6-glucuronide	concentration	nmol/l	/media/data/Chen1991_Fig2.png	257.0	[640.22, 1217.63, 1832.73, 2089.71, 2639.55, 2381.51, 2212.71, 2243.82, 1879.5, 1507.1, 940.95, 622.79]	11549.2315	0.20361336603158853	[76.8766492506014, 227.348972287099, 195.104903064992, 194.705387733622, 211.92697338942, 206.641350200051, 84.4038009363322, 111.588521139049, 93.4936586084853, 92.984541726031, 81.5470895403386, 62.1511505323916]			[217.44, 643.04, 551.84, 550.71, 599.42, 584.47, 238.73, 315.62, 264.44, 263.0, 230.65, 175.79]	[0.339633251069945, 0.528107881704623, 0.301102726533641, 0.263534174598389, 0.227091739122199, 0.245419922654114, 0.107890324534168, 0.140661906926581, 0.140696993881351, 0.174507331962046, 0.245124608108826, 0.28226207871032]			
808	374	plasma	h	[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0]	codeine	concentration	µg/l	/media/data/Kirchheiner2007_Fig1a.png	264.0	[0.93747705, 39.04783, 43.098473, 37.461857, 28.696398, 22.734552, 22.711042, 12.036344, 7.914187, 4.739304, 3.4374158, 0.93845665]	217.43418326249997	0.16623094127657503	[None, 9.74254734691376, 6.67488329411506, 6.31348281021205, 7.39825064253517, 5.59237925219743, 3.06540141709374, 1.80134669627809, 1.98515885618053, 1.98515827883026, 1.2640539702603, None]			[None, 16.874587, 11.561237, 10.935273, 12.814146, 9.686285, 5.309431, 3.120024, 3.438396, 3.438395, 2.1894057, None]	[None, 0.432151722643742, 0.268251661723607, 0.291904189373207, 0.446541966695611, 0.426060078069715, 0.233781919825607, 0.259216918359927, 0.434459787215036, 0.725506319071324, 0.636933623217767, None]			
680	335	plasma	h	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0, 16.0, 24.0, 32.0, 48.0]	caffeine	concentration	mg/l	/media/data/Healy1991_Fig1.png	227.0	[0.15, 1.07, 3.16, 4.13, 3.95, 3.54, 3.37, 3.07, 2.88, 2.67, 2.01, 1.47, 0.88, 0.51, 0.18, 0.07, 0.0]	32.035		[0.0425, 0.1675, 0.3375, 0.1175, 0.085, 0.0925, 0.095, 0.115, 0.105, 0.11, 0.11, 0.0825, 0.085, 0.0625, 0.0225, 0.0225, 0.015]			[0.17, 0.67, 1.35, 0.47, 0.34, 0.37, 0.38, 0.46, 0.42, 0.44, 0.44, 0.33, 0.34, 0.25, 0.09, 0.09, 0.06]	[1.13333333333333, 0.626168224299065, 0.427215189873418, 0.113801452784504, 0.0860759493670886, 0.104519774011299, 0.112759643916914, 0.149837133550489, 0.145833333333333, 0.164794007490637, 0.218905472636816, 0.224489795918367, 0.386363636363636, 0.490196078431373, 0.5, 1.28571428571429, None]			
970	383	plasma	min	[-30.0, -20.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 75.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 260.0, 280.0, 300.0, 360.0]	glucose	concentration	mmol/l	/media/data/Basu2009_Fig1.png	276.0	[5.27, 5.27, 5.27, 5.14, 5.27, 5.65, 6.54, 7.68, 9.52, 10.41, 10.86, 10.54, 9.52, 8.95, 7.81, 6.6, 5.78, 5.59, 5.4, 5.4, 5.46, 5.33, 5.21]	2594.1249999999995	0.002435376583248095	[0.19, 0.13, 0.13, 0.13, 0.13, 0.19, 0.19, 0.19, 0.25, 0.19, 0.63, 0.63, 0.57, 0.44, 0.51, 0.38, 0.44, 0.44, 0.25, 0.19, 0.13, 0.19, 0.19]							
971	383	plasma	min	[-30.0, -20.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 75.0, 90.0, 120.0, 150.0, 180.0, 210.0, 240.0, 260.0, 280.0, 300.0, 360.0]	insulin	concentration	pmol/l	/media/data/Basu2009_Fig1.png	276.0	[26.8, None, None, 26.55, 56.91, None, 235.88, 313.55, 506.03, 614.06, 627.49, 674.71, 607.03, 478.53, 403.96, 248.31, 210.92, 166.75, 92.19, 105.54, 88.49, 81.57, 50.69]			[20.26, None, None, 27.03, 33.8, None, 37.16, 60.82, 77.71, 114.86, 91.23, 114.87, 118.24, 81.07, 70.95, 77.71, 54.05, 33.78, 23.64, 23.64, 23.65, 20.27, 13.51]							
768	358	plasma	h	[3.0, 4.0, 5.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Spigset1999a_Tab2.png	254.0	[0.34, 0.43, 0.54, 0.59, 0.82, 0.97]	4.635		[0.023094010767585, 0.0317542648054294, 0.0461880215351701, 0.0519615242270663, 0.0837157890324957, 0.101036297108185]			[0.08, 0.11, 0.16, 0.18, 0.29, 0.35]	[0.235294117647059, 0.255813953488372, 0.296296296296296, 0.305084745762712, 0.353658536585366, 0.360824742268041]	[0.32, 0.4, 0.5, 0.57, 0.78, 0.94]	[0.47, 0.64, 0.83, 0.94, 1.44, 1.66]	[0.22, 0.27, 0.31, 0.38, 0.47, 0.5]
770	358	saliva	h	[3.0, 4.0, 5.0, 6.0, 8.0, 10.0]	paraxanthine/caffeine	ratio	-	/media/data/Spigset1999a_Tab2.png	254.0	[0.36, 0.47, 0.55, 0.7, 0.88, 1.02]	5.029999999999999		[0.0259807621135332, 0.0375277674973257, 0.0375277674973257, 0.0519615242270663, 0.0721687836487032, 0.0808290376865476]			[0.09, 0.13, 0.13, 0.18, 0.25, 0.28]	[0.25, 0.276595744680851, 0.236363636363636, 0.257142857142857, 0.284090909090909, 0.274509803921569]	[0.36, 0.45, 0.58, 0.7, 0.9, 1.0]	[0.54, 0.71, 0.78, 1.01, 1.28, 1.49]	[0.23, 0.28, 0.37, 0.45, 0.55, 0.61]
799	373	plasma	h	[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0]	codeine/morphine	ratio	-	/media/data/He2008_Tab1.png	261.0		5003.85							[71.0, 55.0, 47.0, 46.0, 46.0, 47.0, 45.0, 0.05, 64.0, 108.0, 635.0]	[152.0, 87.0, 66.0, 61.0, 65.0, 74.0, 68.0, 71.0, 123.0, 236.0, 1.06]	[46.0, 25.0, 21.0, 18.0, 19.0, 0.02, 19.0, 26.0, 33.0, 45.0, 184.0]
800	373	plasma	h	[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0]	codeine/morphine	ratio	-	/media/data/He2008_Tab1.png	262.0		3252.2875							[47.0, 38.0, 0.03, 0.03, 29.0, 29.0, 31.0, 38.0, 48.0, 77.0, 396.0]	[74.0, 62.0, 61.0, 62.0, 53.0, 55.0, 59.0, 61.0, 0.08, 139.0, 678.0]	[19.0, 17.0, 14.0, 14.0, 14.0, 14.0, 14.0, 15.0, 18.0, 0.04, 0.1]
682	335	plasma	h	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0, 16.0, 24.0, 32.0, 48.0]	caffeine	concentration	mg/l	/media/data/Healy1991_Fig1.png	227.0	[0.15, 0.82, 2.6, 3.48, 3.81, 3.68, 3.38, 3.09, 2.88, 2.54, 2.01, 1.47, 0.82, 0.47, 0.17, 0.06, 0.0]	30.8275		[0.0475, 0.0825, 0.2875, 0.19, 0.13, 0.075, 0.0825, 0.1075, 0.0925, 0.125, 0.08, 0.0925, 0.0725, 0.0625, 0.035, 0.0275, 0.0125]			[0.19, 0.33, 1.15, 0.76, 0.52, 0.3, 0.33, 0.43, 0.37, 0.5, 0.32, 0.37, 0.29, 0.25, 0.14, 0.11, 0.05]	[1.26666666666667, 0.402439024390244, 0.442307692307692, 0.218390804597701, 0.136482939632546, 0.0815217391304348, 0.0976331360946746, 0.13915857605178, 0.128472222222222, 0.196850393700787, 0.159203980099503, 0.251700680272109, 0.353658536585366, 0.531914893617021, 0.823529411764706, 1.83333333333333, None]			
682	336	plasma	h	[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 12.0, 16.0, 24.0, 32.0, 48.0]	caffeine	concentration	mg/l	/media/data/Healy1991_Fig1.png	227.0	[0.15, 0.82, 2.6, 3.48, 3.81, 3.68, 3.38, 3.09, 2.88, 2.54, 2.01, 1.47, 0.82, 0.47, 0.17, 0.06, 0.0]	30.8275		[0.0475, 0.0825, 0.2875, 0.19, 0.13, 0.075, 0.0825, 0.1075, 0.0925, 0.125, 0.08, 0.0925, 0.0725, 0.0625, 0.035, 0.0275, 0.0125]			[0.19, 0.33, 1.15, 0.76, 0.52, 0.3, 0.33, 0.43, 0.37, 0.5, 0.32, 0.37, 0.29, 0.25, 0.14, 0.11, 0.05]	[1.26666666666667, 0.402439024390244, 0.442307692307692, 0.218390804597701, 0.136482939632546, 0.0815217391304348, 0.0976331360946746, 0.13915857605178, 0.128472222222222, 0.196850393700787, 0.159203980099503, 0.251700680272109, 0.353658536585366, 0.531914893617021, 0.823529411764706, 1.83333333333333, None]			
825	375	plasma	h	[0.0, 1.2, 2.1, 3.3, 4.6, 5.7, 7.0, 9.3, 13.9, 18.6, 21.5]	codeine	concentration	ng/g	/media/data/Kronstrand2001_Fig1.png	267.0		1571.2252600000002	0.2059890693491806	[None, 7.50766666666667, 10.0115, 6.8262, 5.00603333333333, 4.0965, 2.73026666666667, 1.81906666666667, 2.95776666666667, 1.59433333333333, None]			[None, 22.523, 30.0345, 20.4786, 15.0181, 12.2895, 8.1908, 5.4572, 8.8733, 4.783, None]		[0.0034, 114.6408, 185.6024, 156.8994, 133.657, 116.561, 99.46, 78.2351, 46.7046, 24.0474, 1.4389]		
